0,5,1,4.015
0,6,1,4.015
0,7,1,4.013
0,1,1,4.013
1,2,1,4.014
2,3,1,4.015
4,5,2,4.016
5,6,1,4.016
7,7,1,4.014
7,1,1,4.015
8,2,1,4.015
9,3,1,4.016
10,4,1,4.017
11,5,1,4.017
12,6,1,4.017
13,7,1,4.015
14,1,1,4.016
15,2,1,4.016
16,3,1,4.017
17,4,1,4.017
18,5,1,4.018
19,6,1,4.018
20,7,1,4.016
21,1,1,4.017
22,2,1,4.017
23,3,1,4.018
24,4,1,4.019
25,5,1,4.019
26,6,1,4.020
27,7,1,4.018
28,1,1,4.018
29,2,1,4.018
30,3,1,4.019
31,4,1,4.020
32,5,1,4.020
33,6,1,4.020
34,7,1,4.019
35,1,1,4.020
36,2,1,4.020
37,3,1,4.021
38,4,1,4.021
39,5,1,4.022
40,6,1,4.022
41,7,1,4.021
42,1,1,4.021
43,2,1,4.021
44,3,1,4.022
45,4,1,4.022
46,5,1,4.023
47,6,1,4.023
48,7,1,4.022
49,1,1,4.022
50,2,1,4.022
59,1,6,4.024
59,2,1,4.024
59,3,1,4.025
59,4,1,4.025
60,5,1,4.026
61,6,1,4.026
62,7,1,4.025
63,1,1,4.026
64,2,1,4.026
65,3,1,4.027
66,4,1,4.027
67,5,1,4.028
68,6,1,4.028
69,7,1,4.027
70,1,1,4.027
71,2,1,4.028
72,3,1,4.029
73,4,1,4.029
74,5,1,4.029
75,6,1,4.030
76,7,1,4.028
77,1,1,4.029
78,2,1,4.029
79,3,1,4.030
80,4,1,4.030
81,5,1,4.031
82,6,1,4.031
83,7,1,4.030
84,1,1,4.030
85,2,1,4.031
86,3,1,4.032
87,4,1,4.032
88,5,1,4.033
89,6,1,4.033
90,7,1,4.032
91,1,1,4.032
92,2,1,4.033
93,3,1,4.033
94,4,1,4.034
95,5,1,4.034
96,6,1,4.034
97,7,1,4.034
98,1,1,4.034
99,2,1,4.034
100,3,1,4.035
101,4,1,4.035
102,5,1,4.036
103,6,1,4.036
104,7,1,4.035
105,1,1,4.035
106,2,1,4.036
107,3,1,4.036
108,4,1,4.037
109,5,1,4.037
110,6,1,4.038
111,7,1,4.037
119,2,2,4.038
119,3,1,4.038
119,4,1,4.039
119,5,1,4.040
119,6,1,4.040
119,7,1,4.039
119,1,1,4.039
120,2,1,4.040
121,3,1,4.040
122,4,1,4.041
123,5,1,4.042
124,6,1,4.042
125,7,1,4.041
126,1,1,4.041
127,2,1,4.042
128,3,1,4.042
129,4,1,4.043
130,5,1,4.043
131,6,1,4.043
132,7,1,4.042
134,1,1,4.043
135,2,1,4.043
136,3,1,4.044
136,4,1,4.044
137,5,1,4.045
138,6,1,4.045
139,7,1,4.044
140,1,1,4.044
141,2,1,4.045
142,3,1,4.045
143,4,1,4.046
144,5,1,4.047
145,6,1,4.047
146,7,1,4.046
147,1,1,4.046
148,2,1,4.047
149,3,1,4.047
150,4,1,4.048
151,5,1,4.048
152,6,1,4.049
153,7,1,4.048
156,1,1,4.048
156,2,1,4.048
157,3,1,4.049
157,4,1,4.050
158,5,1,4.050
159,6,1,4.051
160,7,1,4.050
161,1,1,4.050
162,2,1,4.051
163,3,1,4.051
164,4,1,4.052
165,5,1,4.052
166,6,1,4.052
167,7,1,4.051
168,1,1,4.051
169,2,1,4.052
175,4,2,4.053
175,5,1,4.053
175,6,1,4.054
175,7,1,4.053
175,1,1,4.053
176,2,1,4.054
177,3,1,4.054
178,4,1,4.054
179,5,1,4.055
180,6,1,4.055
181,7,1,4.053
182,1,1,4.053
183,2,1,4.054
184,3,1,4.055
185,4,1,4.056
186,5,1,4.057
187,6,1,4.057
188,7,1,4.055
189,1,1,4.055
190,2,1,4.056
191,3,1,4.056
192,4,1,4.057
193,5,1,4.058
194,6,1,4.058
197,1,2,4.056
197,2,1,4.056
198,3,1,4.057
199,4,1,4.057
200,5,1,4.058
201,6,1,4.058
202,7,1,4.057
203,1,1,4.057
204,2,1,4.058
